SiteID,Site_Description_Cap,Site_Description_Lower,Region,Lat,Long,Site_Type
654,SARSFIELD RD @ CONCOLBERT RD (RAILWAY BRIDGE),sarsfield rd @ concolbert rd (railway bridge),WCITY1,53.342091,-6.325348,SCATS Site
655,CLONTARF RD / SEAVIEW AVE NTH,clontarf rd / seaview ave nth,NCITY,53.36130857,-6.214753217,SCATS Site
656,COLLINS AVE / CELTIC PK RD,collins ave / celtic pk rd,NULL,53.3785341,-6.2300358,Signal Site
658,RINGSEND @ BARROW ST,ringsend @ barrow st,CCITY,53.3420237,-6.2365483,SCATS Site
659,GRACE PARK RD / SION HILL RD,grace park rd / sion hill rd,NCITY,53.37593724,-6.242346615,SCATS Site
660,NORTH WALL QUAY @ GUILD ST,north wall quay @ guild st,CCITY,53.34760463,-6.241201531,SCATS Site
661,EMMET RD @ LUBY RD,emmet rd @ luby rd,NULL,53.340641,-6.311762,Signal Site
662,MERCER ST @ YORK ST,mercer st @ york st,CCITY,53.33925692,-6.264346684,SCATS Site
663,MERCER ST @ CAR PARK,mercer st @ car park,CCITY,53.3397015,-6.264034095,SCATS Site
664,ST JOHNS RD @ MILITARY RD,st johns rd @ military rd,WCITY1,53.34579617,-6.29618408,SCATS Site
665,LORD EDWARD ST / FISHAMBLE ST (& LORD EDWARD ST @ COWS LANE),lord edward st / fishamble st (& lord edward st @ cows lane),CCITY,53.34360607,-6.270067957,SCATS Site
666,DAME ST @ OLYMPIA,dame st @ olympia,CCITY,53.3441691,-6.2662089,SCATS Site
667,NAVAN RD @ LIBRARY,navan rd @ library,WCITY1,53.362105,-6.299983,SCATS Site
668,HARCOURT ST PED (LUAS),harcourt st ped (luas),SCITY,53.336765,-6.2631501,SCATS Site
670,RATOATH RD @ JOHN PAUL PARK,ratoath rd @ john paul park,NCITY,53.36807279,-6.30378423,SCATS Site
671,RATHMINES RD UPPER @ RATHMINES CLOSE,rathmines rd upper @ rathmines close,NULL,53.316773,-6.265523,Signal Site
672,GLASNEVIN AVE @ AUTOBAHN,glasnevin ave @ autobahn,NCITY,53.38994938,-6.272031963,SCATS Site
676,COLDCUT RD @ CLOVER HILL RD,coldcut rd @ clover hill rd,WCITY1,53.34656,-6.383297,SCATS Site
677,EAST WALL RD @ ALEXANDRA RD,east wall rd @ alexandra rd,NCITY,53.35125441,-6.225855344,SCATS Site
679,DRIMNAGH RD @ SLIEVEBLOOM RD,drimnagh rd @ slievebloom rd,WCITY1,53.324163,-6.327237,SCATS Site
680,OSCAR TRAYNOR RD @ COOLOCK VILLAGE,oscar traynor rd @ coolock village,WCITY1,53.390168,-6.199851,SCATS Site
682,NORTH KING ST @ COLRAINE/LINNENHALL,north king st @ colraine/linnenhall,NULL,53.350294,-6.272273,Signal Site
684,TERENURE RD EAST BUSGATE,terenure rd east busgate,SCITY,53.31101916,-6.27828166,SCATS Site
686,RATHMINES RD @ RATHMINES COLLEGE,rathmines rd @ rathmines college,SCITY,53.3254722,-6.2652374,SCATS Site
687,OLD FINGLAS RD @ ST. BRIGIDS SCHOOL,old finglas rd @ st. brigids school,NULL,53.377189,-6.275296,Signal Site
688,BLUNDEN DRIVE @ AYRFIELD CHURCH,blunden drive @ ayrfield church,NULL,53.396567,-6.182179,Signal Site
689,NEWBROOK RD @ NEWBROOK AVE,newbrook rd @ newbrook ave,NULL,53.394581,-6.160919,Signal Site
690,BALLYMUN RD @ OLD FINGLAS RD,ballymun rd @ old finglas rd,WCITY1,53.3761333,-6.2700266,SCATS Site
691,SWORDS RD @ REGENCY HOTEL,swords rd @ regency hotel,NCITY,53.37761719,-6.248155097,SCATS Site
692,KYLEMORE RD @ LANDEN RD,kylemore rd @ landen rd,WCITY1,53.337597,-6.347597,SCATS Site
693,TERENURE RD WEST @ GREENLEA RD,terenure rd west @ greenlea rd,SCITY,53.3105567,-6.289794,SCATS Site
694,BROOKWOOD AVE @ BROOKWOOD RISE,brookwood ave @ brookwood rise,WCITY1,53.37730147,-6.196350693,SCATS Site
695,SYBIL HILL RD @ ST PAULS SCHOOL,sybil hill rd @ st pauls school,NULL,53.373275,-6.194027,Signal Site
696,VERNON AVE @ BLACKHEATH,vernon ave @ blackheath,NCITY,53.36589,-6.195127,SCATS Site
697,CASTLE AVE @ BLACKHEATH,castle ave @ blackheath,NULL,53.366931,-6.203993,Signal Site
699,HAROLD'S CROSS RD / MOUNT ARGUS RD,harold's cross rd / mount argus rd,SCITY,53.324038,-6.279767,SCATS Site
700,FASSAUGH AVE / KILLALA RD,fassaugh ave / killala rd,NULL,53.367348,-6.299733,Signal Site
701,MALAHIDE RD @ CASINO PK,malahide rd @ casino pk,DCC1,53.372135,-6.22266,SCATS Site
702,BUSHY PARK RD @ RIVERSIDE AVE,bushy park rd @ riverside ave,NULL,53.307467,-6.278622,Signal Site
703,MOBHI RD @ STELLA AVE,mobhi rd @ stella ave,NULL,53.377002,-6.264728,Signal Site
704,MOBHI RD @ ST MOBHI DRIVE,mobhi rd @ st mobhi drive,NCITY,53.3728606,-6.26581192,SCATS Site
705,RATOATH RD @ VALLEY PARK RD,ratoath rd @ valley park rd,NULL,53.382966,-6.317987,Signal Site
706,LONDONBRIDGE RD @ SHUTTLE,londonbridge rd @ shuttle,SCITY,53.337647,-6.226662,SCATS Site
707,RICHMOND VILLA'S @ SOUTH RICHMOND ST,richmond villa's @ south richmond st,SCITY,53.331854,-6.264628,SCATS Site
708,SEVILLE PLACE @ ORIEL ST,seville place @ oriel st,CCITY,53.35236989,-6.243559804,SCATS Site
709,PHILIPSBURGH AVE @ SHUTTLE,philipsburgh ave @ shuttle,WCITY1,53.3679443,-6.2395667,SCATS Site
710,JERVIS ST/SWIFT ROW @ STRAND ST,jervis st/swift row @ strand st,CCITY,53.3468032,-6.2659467,SCATS Site
